,district,2016,2019,CAGR
0,Adilabad,5075557,775895,-0.46530464095306356
1,Bhadradri Kothagudem ,889030,12817737,1.433875243991837
2,Hyderabad,23394705,13802362,-0.1612897573959181
3,Jagtial ,623077,3086115,0.7046038372423757
4,Jangaon ,40660,328890,1.0073715506340157
5,Jayashankar Bhoopalpally,243400,662530,0.3962450875807555
6,Jogulamba Gadwal ,523401,2007995,0.5654625874688981
7,Kamareddy ,127,534,0.6140333794567416
8,Karimnagar ,9167468,77491,-0.7962955009992503
9,Khammam,5005031,1413440,-0.34391989466989636
10,Komaram Bheem Asifabad,0,19189,0.0
11,Mahabubabad ,140002,152885,0.029777849472204965
12,Mahbubnagar,8304766,2534815,-0.3267036045022478
13,Mancherial,7802,269810,2.257997139428359
14,Medak ,3463200,5452570,0.1633432982468157
15,Medchal ,0,0,0.0
16,Nagarkurnool ,588473,2093312,0.5265199127053981
17,Nalgonda,5858461,140918,-0.7113348807658993
18,Nirmal,916610,3816778,0.6088075773938375
19,Nizamabad,6442,46333,0.9302929901463035
20,Peddapalli,3244,16581,0.7225689895442873
21,Rajanna Sircilla ,2176801,16832897,0.9774858257457022
22,Ranga Reddy,0,0,0.0
23,Sangareddy ,778000,4553160,0.8020953731607485
24,Siddipet,358400,2987864,1.027671552477179
25,Suryapet,0,0,0.0
26,Vikarabad,0,0,0.0
27,Wanaparthy ,60138,298639,0.7060791702501732
28,Warangal (Rural),19400,353500,1.6314546875673206
29,Warangal (Urban),25788035,1795230,-0.588628738295105
30,Yadadri Bhongir,1728600,4489374,0.3745601828345997
31,Mulugu,0,1819800,0.0
32,Narayanapet,0,389250,0.0
